gen_sp,links
Aramides cajaneus,https://i.ibb.co/0DVw0q8/Aramides-cajaneus.jpg
Attila rufus,https://i.ibb.co/6twKLvy/Attila-rufus.jpg
Automolus leucophthalmus,https://i.ibb.co/xYRPvjZ/Automolus-leucophthalmus.jpg
Basileuterus culicivorus,https://i.ibb.co/CtVhhTW/Basileuterus-culicivorus.jpg
Batara cinerea,https://i.ibb.co/cxNLtKg/Batara-cinerea.jpg
Cacicus haemorrhous,https://i.ibb.co/Bn3Ppkx/Cacicus-haemorrhous.jpg
Camptostoma obsoletum,https://i.ibb.co/fH8NZ9d/Camptostoma-obsoletum.jpg
Campylorhamphus falcularius,https://i.ibb.co/6t0vqv4/Campylorhamphus-falcularius.jpg
Cantorchilus leucotis,https://i.ibb.co/ysnY6gh/Cantorchilus-leucotis.jpg
Cantorchilus longirostris,https://i.ibb.co/9ZYLrzp/Cantorchilus-longirostris.jpg
Capsiempis flaveola,https://i.ibb.co/KzcppGW/Capsiempis-flaveola.jpg
Ceratopipra rubrocapilla,https://i.ibb.co/h99mzT5/Ceratopipra-rubrocapilla.jpg
Certhiaxis cinnamomeus,https://i.ibb.co/DD6S41r/Certhiaxis-cinnamomeus.jpg
Chamaeza campanisona,https://i.ibb.co/jk3N0Gg/Chamaeza-campanisona.jpg
Chiroxiphia caudata,https://i.ibb.co/2FTsgX6/Chiroxiphia-caudata.jpg
Cichlocolaptes leucophrus,https://i.ibb.co/DQ3MKZv/Cichlocolaptes-leucophrus.jpg
Cnemotriccus fuscatus,https://i.ibb.co/S7S3mTR/Cnemotriccus-fuscatus.jpg
Coereba flaveola,https://i.ibb.co/M6BkGyr/Coereba-flaveola.jpg
Conopophaga lineata,https://i.ibb.co/bXZc0rJ/Conopophaga-lineata.jpg
Conopophaga melanops,https://i.ibb.co/XZ6JRNZ/Conopophaga-melanops.jpg
Corythopis delalandi,https://i.ibb.co/1GFBmhm/Corythopis-delalandi.jpg
Crypturellus obsoletus,https://i.ibb.co/Qj968Nx/Crypturellus-obsoletus.jpg
Crypturellus soui,https://i.ibb.co/PTDn0f5/Crypturellus-soui.jpg
Cyclarhis gujanensis,https://i.ibb.co/HNV1dq0/Cyclarhis-gujanensis.jpg
Dendrocolaptes platyrostris,https://i.ibb.co/YBwdvwZ/Dendrocolaptes-platyrostris.jpg
Donacobius atricapilla,https://i.ibb.co/60xgzW5/Donacobius-atricapilla.jpg
Drymophila ferruginea,https://i.ibb.co/Yt2WGYQ/Drymophila-ferruginea.jpg
Drymophila malura,https://i.ibb.co/JnWPkGQ/Drymophila-malura.jpg
Drymophila ochropyga,https://i.ibb.co/r2rXfzb/Drymophila-ochropyga.jpg
Drymophila squamata,https://i.ibb.co/PN8HnGR/Drymophila-squamata.jpg
Dryocopus lineatus,https://i.ibb.co/tpw56xn/Dryocopus-lineatus.jpg
Dysithamnus mentalis,https://i.ibb.co/JpDb0f8/Dysithamnus-mentalis.jpg
Dysithamnus stictothorax,https://i.ibb.co/M9r0pQd/Dysithamnus-stictothorax.jpg
Elaenia flavogaster,https://i.ibb.co/BVyHGCQ/Elaenia-flavogaster.jpg
